movie_id,Year,Director,Film,Winner
tt0047296,1954,Elia Kazan,On the Waterfront,True
,1954,Alfred Hitchcock,Rear Window,False
tt0046874,1954,George Seaton,The Country Girl,False
,1954,William A. Wellman,The High and the Mighty,False
,1954,Billy Wilder,Sabrina,False
tt0048356,1955,Delbert Mann,Marty,True
,1955,Elia Kazan,East of Eden,False
,1955,David Lean,Summertime,False
tt0048491,1955,Joshua Logan,Picnic,False
,1955,John Sturges,Bad Day at Black Rock,False
tt0049261,1956,George Stevens,Giant,True
tt0048960,1956,Michael Anderson,Around the World in 80 Days,False
tt0049408,1956,Walter Lang,The King and I,False
,1956,King Vidor,War and Peace,False
tt0049233,1956,William Wyler,Friendly Persuasion,False
tt0050212,1957,David Lean,The Bridge on the River Kwai,True
tt0050933,1957,Joshua Logan,Sayonara,False
tt0050083,1957,Sidney Lumet,12 Angry Men,False
tt0050839,1957,Mark Robson,Peyton Place,False
tt0051201,1957,Billy Wilder,Witness for the Prosecution,False
tt0051658,1958,Vincente Minnelli,Gigi,True
tt0051459,1958,Richard Brooks,Cat on a Hot Tin Roof,False
tt0051525,1958,Stanley Kramer,The Defiant Ones,False
,1958,Mark Robson,The Inn of the Sixth Happiness,False
,1958,Robert Wise,I Want to Live!,False
tt0052618,1959,William Wyler,Ben-Hur,True
,1959,Jack Clayton,Room at the Top,False
tt0052738,1959,George Stevens,The Diary of Anne Frank,False
,1959,Billy Wilder,Some Like It Hot,False
tt0053131,1959,Fred Zinnemann,The Nun's Story,False
tt0053604,1960,Billy Wilder,The Apartment,True
tt0054326,1960,Jack Cardiff,Sons and Lovers,False
,1960,Jules Dassin,Never on Sunday,False
,1960,Alfred Hitchcock,Psycho,False
tt0054353,1960,Fred Zinnemann,The Sundowners,False
tt0055614,1961,Robert Wise,West Side Story,True
tt0055614,1961,Jerome Robbins,West Side Story,True
,1961,Federico Fellini,La Dolce Vita,False
tt0055031,1961,Stanley Kramer,Judgment at Nuremberg,False
tt0054997,1961,Robert Rossen,The Hustler,False
tt0054953,1961,J. Lee Thompson,The Guns of Navarone,False
tt0056172,1962,David Lean,Lawrence of Arabia,True
,1962,Pietro Germi,Divorce Italian Style,False
tt0056592,1962,Robert Mulligan,To Kill a Mockingbird,False
,1962,Arthur Penn,The Miracle Worker,False
,1962,Frank Perry,David and Lisa,False
tt0057590,1963,Tony Richardson,Tom Jones,True
,1963,Federico Fellini,8.5,False
tt0056825,1963,Elia Kazan,America America,False
,1963,Otto Preminger,The Cardinal,False
,1963,Martin Ritt,Hud,False
tt0058385,1964,George Cukor,My Fair Lady,True
tt0057831,1964,Michael Cacoyannis,Zorba the Greek,False
tt0057877,1964,Peter Glenville,Becket,False
,1964,Stanley Kubrick,Dr. Strangelove,False
tt0058331,1964,Robert Stevenson,Mary Poppins,False
tt0059742,1965,Robert Wise,The Sound of Music,True
tt0059113,1965,David Lean,Doctor Zhivago,False
tt0059084,1965,John Schlesinger,Darling,False
,1965,Hiroshi Teshigahara,Woman in the Dunes,False
,1965,William Wyler,The Collector,False
tt0060665,1966,Fred Zinnemann,A Man for All Seasons,True
,1966,Michelangelo Antonioni,Blowup,False
,1966,Richard Brooks,The Professionals,False
,1966,Claude Lelouch,A Man and a Woman,False
tt0061184,1966,Mike Nichols,Who's Afraid of Virginia Woolf?,False
tt0061722,1967,Mike Nichols,The Graduate,True
,1967,Richard Brooks,In Cold Blood,False
tt0061811,1967,Norman Jewison,In the Heat of the Night,False
tt0061735,1967,Stanley Kramer,Guess Who's Coming to Dinner,False
tt0061418,1967,Arthur Penn,Bonnie and Clyde,False
tt0063385,1968,Carol Reed,Oliver!,True
tt0063227,1968,Anthony Harvey,The Lion in Winter,False
,1968,Stanley Kubrick,2001: A Space Odyssey,False
,1968,Gillo Pontecorvo,The Battle of Algiers,False
tt0063518,1968,Franco Zeffirelli,Romeo and Juliet,False
tt0064665,1969,John Schlesinger,Midnight Cowboy,True
tt0065234,1969,Costa-Gavras,Z,False
tt0064115,1969,George Roy Hill,Butch Cassidy and the Sundance Kid,False
,1969,Arthur Penn,Alice's Restaurant,False
,1969,Sydney Pollack,"They Shoot Horses, Don't They?",False
tt0066206,1970,Franklin J. Schaffner,Patton,True
tt0066026,1970,Robert Altman,M*A*S*H,False
,1970,Federico Fellini,Fellini Satyricon,False
tt0066011,1970,Arthur Hiller,Love Story,False
,1970,Ken Russell,Women in Love,False
tt0067116,1971,William Friedkin,The French Connection,True
tt0067328,1971,Peter Bogdanovich,The Last Picture Show,False
tt0067093,1971,Norman Jewison,Fiddler on the Roof,False
tt0066921,1971,Stanley Kubrick,A Clockwork Orange,False
,1971,John Schlesinger,Sunday Bloody Sunday,False
tt0068327,1972,Bob Fosse,Cabaret,True
tt0068473,1972,John Boorman,Deliverance,False
tt0068646,1972,Francis Ford Coppola,The Godfather,False
,1972,Joseph L. Mankiewicz,Sleuth,False
,1972,Jan Troell,The Emigrants,False
tt0070735,1973,George Roy Hill,The Sting,True
,1973,Ingmar Bergman,Cries and Whispers,False
,1973,Bernardo Bertolucci,Last Tango in Paris,False
tt0070047,1973,William Friedkin,The Exorcist,False
tt0069704,1973,George Lucas,American Graffiti,False
tt0071562,1974,Francis Ford Coppola,The Godfather Part II,True
,1974,John Cassavetes,A Woman Under the Influence,False
tt0071746,1974,Bob Fosse,Lenny,False
tt0071315,1974,Roman Polanski,Chinatown,False
,1974,Francois Truffaut,Day for Night,False
tt0073486,1975,Milos Forman,One Flew Over the Cuckoo's Nest,True
tt0073440,1975,Robert Altman,Nashville,False
,1975,Federico Fellini,Amarcord,False
tt0072684,1975,Stanley Kubrick,Barry Lyndon,False
tt0072890,1975,Sidney Lumet,Dog Day Afternoon,False
tt0075148,1976,John G. Avildsen,Rocky,True
,1976,Ingmar Bergman,Face to Face,False
tt0074958,1976,Sidney Lumet,Network,False
tt0074119,1976,Alan J. Pakula,All the President's Men,False
,1976,Lina Wertmuller,Seven Beauties,False
tt0075686,1977,Woody Allen,Annie Hall,True
,1977,George Lucas,Star Wars,False
tt0076843,1977,Herbert Ross,The Turning Point,False
,1977,Steven Spielberg,Close Encounters of the Third Kind,False
tt0076245,1977,Fred Zinnemann,Julia,False
tt0077416,1978,Michael Cimino,The Deer Hunter,True
,1978,Woody Allen,Interiors,False
tt0077362,1978,Hal Ashby,Coming Home,False
tt0077663,1978,Warren Beatty,Heaven Can Wait,False
tt0077663,1978,Buck Henry,Heaven Can Wait,False
tt0077928,1978,Alan Parker,Midnight Express,False
tt0079417,1979,Robert Benton,Kramer vs. Kramer,True
tt0078788,1979,Francis Ford Coppola,Apocalypse Now,False
tt0078754,1979,Bob Fosse,All That Jazz,False
,1979,Edouard Molinaro,La Cage aux Folles,False
tt0078902,1979,Peter Yates,Breaking Away,False
tt0081283,1980,Robert Redford,Ordinary People,True
tt0080678,1980,David Lynch,The Elephant Man,False
,1980,Roman Polanski,Tess,False
,1980,Richard Rush,The Stunt Man,False
tt0081398,1980,Martin Scorsese,Raging Bull,False
tt0082979,1981,Warren Beatty,Reds,True
tt0082158,1981,Hugh Hudson,Chariots of Fire,False
,1981,Louis Malle,Atlantic City,False
tt0082846,1981,Mark Rydell,On Golden Pond,False
tt0082971,1981,Steven Spielberg,Raiders of the Lost Ark,False
tt0083987,1982,Richard Attenborough,Gandhi,True
tt0084855,1982,Sidney Lumet,The Verdict,False
,1982,Wolfgang Petersen,Das Boot,False
tt0084805,1982,Sydney Pollack,Tootsie,False
tt0083866,1982,Steven Spielberg,E.T. the Extra-Terrestrial,False
tt0086425,1983,James L. Brooks,Terms of Endearment,True
tt0086423,1983,Bruce Beresford,Tender Mercies,False
,1983,Ingmar Bergman,Fanny and Alexander,False
,1983,Mike Nichols,Silkwood,False
tt0085461,1983,Peter Yates,The Dresser,False
tt0086879,1984,Milos Forman,Amadeus,True
,1984,Woody Allen,Broadway Danny Rose,False
tt0087921,1984,Robert Benton,Places in the Heart,False
tt0087553,1984,Roland Joffe,The Killing Fields,False
tt0087892,1984,David Lean,A Passage to India,False
tt0089755,1985,Sydney Pollack,Out of Africa,True
tt0089424,1985,Hector Babenco,Kiss of the Spider Woman,False
tt0089841,1985,John Huston,Prizzi's Honor,False
,1985,Akira Kurosawa,Ran,False
tt0090329,1985,Peter Weir,Witness,False
tt0091763,1986,Oliver Stone,Platoon,True
tt0091167,1986,Woody Allen,Hannah and Her Sisters,False
,1986,James Ivory,A Room with a View,False
tt0091530,1986,Roland Joffe,The Mission,False
,1986,David Lynch,Blue Velvet,False
