movie_id,Year,Actor,Film,Winner
,1954,James Mason,A Star Is Born,False
,1954,Dan O'Herlihy,Robinson Crusoe,False
tt0048356,1955,Ernest Borgnine,Marty,True
,1955,James Cagney,Love Me or Leave Me,False
,1955,James Dean,East of Eden,False
,1955,Frank Sinatra,The Man with the Golden Arm,False
,1955,Spencer Tracy,Bad Day at Black Rock,False
tt0049408,1956,Yul Brynner,The King and I,True
tt0049261,1956,James Dean,Giant,False
,1956,Kirk Douglas,Lust for Life,False
tt0049261,1956,Rock Hudson,Giant,False
,1956,Laurence Olivier,Richard III,False
tt0050212,1957,Alec Guinness,The Bridge on the River Kwai,True
tt0050933,1957,Marlon Brando,Sayonara,False
,1957,Anthony Franciosa,A Hatful of Rain,False
tt0051201,1957,Charles Laughton,Witness for the Prosecution,False
,1957,Anthony Quinn,Wild Is the Wind,False
tt0052182,1958,David Niven,Separate Tables,True
tt0051525,1958,Tony Curtis,The Defiant Ones,False
tt0051459,1958,Paul Newman,Cat on a Hot Tin Roof,False
tt0051525,1958,Sidney Poitier,The Defiant Ones,False
,1958,Spencer Tracy,The Old Man and the Sea,False
tt0052618,1959,Charlton Heston,Ben-Hur,True
,1959,Laurence Harvey,Room at the Top,False
,1959,Jack Lemmon,Some Like It Hot,False
,1959,Paul Muni,The Last Angry Man,False
tt0052561,1959,James Stewart,Anatomy of a Murder,False
tt0053793,1960,Burt Lancaster,Elmer Gantry,True
tt0054326,1960,Trevor Howard,Sons and Lovers,False
tt0053604,1960,Jack Lemmon,The Apartment,False
,1960,Laurence Olivier,The Entertainer,False
,1960,Spencer Tracy,Inherit the Wind,False
tt0055031,1961,Maximilian Schell,Judgment at Nuremberg,True
tt0054866,1961,Charles Boyer,Fanny,False
tt0054997,1961,Paul Newman,The Hustler,False
tt0055031,1961,Spencer Tracy,Judgment at Nuremberg,False
,1961,Stuart Whitman,The Mark,False
tt0056592,1962,Gregory Peck,To Kill a Mockingbird,True
,1962,Burt Lancaster,Birdman of Alcatraz,False
,1962,Jack Lemmon,Days of Wine and Roses,False
,1962,Marcello Mastroianni,Divorce Italian Style,False
tt0056172,1962,Peter O'Toole,Lawrence of Arabia,False
tt0057251,1963,Sidney Poitier,Lilies of the Field,True
tt0057590,1963,Albert Finney,Tom Jones,False
,1963,Richard Harris,This Sporting Life,False
tt0056937,1963,Rex Harrison,Cleopatra,False
,1963,Paul Newman,Hud,False
tt0058385,1964,Rex Harrison,My Fair Lady,True
tt0057877,1964,Richard Burton,Becket,False
tt0057831,1964,Anthony Quinn,Zorba the Greek,False
,1964,Peter Sellers,Dr. Strangelove,False
,1965,Lee Marvin,Cat Ballou,True
,1965,Richard Burton,The Spy Who Came in from the Cold,False
,1965,Laurence Olivier,Othello,False
,1965,Rod Steiger,The Pawnbroker,False
tt0059712,1965,Oskar Werner,Ship of Fools,False
tt0060665,1966,Paul Scofield,A Man for All Seasons,True
,1966,Alan Arkin,"The Russians Are Coming, the Russians Are Coming",False
tt0061184,1966,Richard Burton,Who's Afraid of Virginia Woolf?,False
tt0060086,1966,Michael Caine,Alfie,False
tt0060934,1966,Steve McQueen,The Sand Pebbles,False
tt0061811,1967,Rod Steiger,In the Heat of the Night,True
tt0061418,1967,Warren Beatty,Bonnie and Clyde,False
tt0061722,1967,Dustin Hoffman,The Graduate,False
,1967,Paul Newman,Cool Hand Luke,False
tt0061735,1967,Spencer Tracy,Guess Who's Coming to Dinner,False
,1968,Cliff Robertson,Charly,True
,1968,Alan Arkin,The Heart Is a Lonely Hunter,False
,1968,Alan Bates,The Fixer,False
tt0063385,1968,Ron Moody,Oliver!,False
tt0063227,1968,Peter O'Toole,The Lion in Winter,False
,1969,John Wayne,True Grit,True
tt0064030,1969,Richard Burton,Anne of the Thousand Days,False
tt0064665,1969,Dustin Hoffman,Midnight Cowboy,False
,1969,Peter O'Toole,"Goodbye, Mr. Chips",False
tt0064665,1969,Jon Voight,Midnight Cowboy,False
tt0066206,1970,George C. Scott,Patton,True
,1970,Melvyn Douglas,I Never Sang for My Father,False
,1970,James Earl Jones,The Great White Hope,False
