movie_id,Year,Actress,Film,Winner
,1954,Jane Wyman,Magnificent Obsession,False
tt0048563,1955,Anna Magnani,The Rose Tattoo,True
,1955,Susan Hayward,I'll Cry Tomorrow,False
,1955,Katharine Hepburn,Summertime,False
,1955,Jennifer Jones,Love is a Many-Splendored Thing,False
,1955,Eleanor Parker,Interrupted Melody,False
,1956,Ingrid Bergman,Anastasia,True
,1956,Carroll Baker,Baby Doll,False
,1956,Katharine Hepburn,The Rainmaker,False
,1956,Nancy Kelly,The Bad Seed,False
tt0049408,1956,Deborah Kerr,The King and I,False
,1957,Joanne Woodward,The Three Faces of Eve,True
,1957,Deborah Kerr,"Heaven Knows, Mr. Allison",False
,1957,Anna Magnani,Wild Is the Wind,False
,1957,Elizabeth Taylor,Raintree County,False
tt0050839,1957,Lana Turner,Peyton Place,False
,1958,Susan Hayward,I Want to Live!,True
tt0052182,1958,Deborah Kerr,Separate Tables,False
,1958,Shirley MacLaine,Some Came Running,False
tt0051383,1958,Rosalind Russell,Auntie Mame,False
tt0051459,1958,Elizabeth Taylor,Cat on a Hot Tin Roof,False
,1959,Simone Signoret,Room at the Top,True
,1959,Doris Day,Pillow Talk,False
tt0053131,1959,Audrey Hepburn,The Nun's Story,False
,1959,Katharine Hepburn,"Suddenly, Last Summer",False
,1960,Elizabeth Taylor,BUtterfield 8,True
,1960,Greer Garson,Sunrise at Campobello,False
tt0054353,1960,Deborah Kerr,The Sundowners,False
tt0053604,1960,Shirley MacLaine,The Apartment,False
,1960,Melina Mercouri,Never on Sunday,False
,1961,Sophia Loren,Two Women,True
,1961,Audrey Hepburn,Breakfast at Tiffany's,False
tt0054997,1961,Piper Laurie,The Hustler,False
,1961,Geraldine Page,Summer and Smoke,False
,1961,Natalie Wood,Splendor in the Grass,False
,1962,Anne Bancroft,The Miracle Worker,True
,1962,Bette Davis,What Ever Happened to Baby Jane?,False
,1962,Katharine Hepburn,Long Day's Journey into Night,False
,1962,Geraldine Page,Sweet Bird of Youth,False
,1962,Lee Remick,Days of Wine and Roses,False
,1963,Patricia Neal,Hud,True
,1963,Leslie Caron,The L-Shaped Room,False
,1963,Shirley MacLaine,Irma la Douce,False
,1963,Rachel Roberts,This Sporting Life,False
,1963,Natalie Wood,Love with the Proper Stranger,False
tt0058331,1964,Julie Andrews,Mary Poppins,True
,1964,Anne Bancroft,The Pumpkin Eater,False
,1964,Sophia Loren,Marriage Italian Style,False
,1964,Debbie Reynolds,The Unsinkable Molly Brown,False
,1964,Kim Stanley,Seance on a Wet Afternoon,False
tt0059084,1965,Julie Christie,Darling,True
tt0059742,1965,Julie Andrews,The Sound of Music,False
,1965,Samantha Eggar,The Collector,False
,1965,Elizabeth Hartman,A Patch of Blue,False
tt0059712,1965,Simone Signoret,Ship of Fools,False
tt0061184,1966,Elizabeth Taylor,Who's Afraid of Virginia Woolf?,True
,1966,Anouk Aimee,A Man and a Woman,False
,1966,Ida Kaminska,The Shop on Main Street,False
,1966,Lynn Redgrave,Georgy Girl,False
,1966,Vanessa Redgrave,Morgan!,False
tt0061735,1967,Katharine Hepburn,Guess Who's Coming to Dinner,True
tt0061722,1967,Anne Bancroft,The Graduate,False
tt0061418,1967,Faye Dunaway,Bonnie and Clyde,False
,1967,Edith Evans,The Whisperers,False
,1967,Audrey Hepburn,Wait Until Dark,False
tt0063227,1968,Katharine Hepburn,The Lion in Winter,True
tt0062994,1968,Barbra Streisand,Funny Girl,True
,1968,Patricia Neal,The Subject Was Roses,False
,1968,Vanessa Redgrave,Isadora,False
tt0063483,1968,Joanne Woodward,"Rachel, Rachel",False
,1969,Maggie Smith,The Prime of Miss Jean Brodie,True
tt0064030,1969,Genevieve Bujold,Anne of the Thousand Days,False
,1969,Jane Fonda,"They Shoot Horses, Don't They?",False
,1969,Liza Minnelli,The Sterile Cuckoo,False
,1969,Jean Simmons,The Happy Ending,False
,1970,Glenda Jackson,Women in Love,True
,1970,Jane Alexander,The Great White Hope,False
tt0066011,1970,Ali MacGraw,Love Story,False
,1970,Sarah Miles,Ryan's Daughter,False
,1970,Carrie Snodgress,Diary of a Mad Housewife,False
,1971,Jane Fonda,Klute,True
,1971,Julie Christie,McCabe & Mrs. Miller,False
,1971,Glenda Jackson,Sunday Bloody Sunday,False
,1971,Vanessa Redgrave,"Mary, Queen of Scots",False
tt0067483,1971,Janet Suzman,Nicholas and Alexandra,False
tt0068327,1972,Liza Minnelli,Cabaret,True
,1972,Diana Ross,Lady Sings the Blues,False
,1972,Maggie Smith,Travels with My Aunt,False
tt0069303,1972,Cicely Tyson,Sounder,False
,1972,Liv Ullmann,The Emigrants,False
tt0070819,1973,Glenda Jackson,A Touch of Class,True
tt0070047,1973,Ellen Burstyn,The Exorcist,False
,1973,Marsha Mason,Cinderella Liberty,False
,1973,Barbra Streisand,The Way We Were,False
,1973,Joanne Woodward,"Summer Wishes, Winter Dreams",False
,1974,Ellen Burstyn,Alice Doesn't Live Here Anymore,True
,1974,Diahann Carroll,Claudine,False
tt0071315,1974,Faye Dunaway,Chinatown,False
tt0071746,1974,Valerie Perrine,Lenny,False
,1974,Gena Rowlands,A Woman Under the Influence,False
tt0073486,1975,Louise Fletcher,One Flew Over the Cuckoo's Nest,True
,1975,Isabelle Adjani,The Story of Adele H.,False
,1975,Ann-Margret,Tommy,False
,1975,Glenda Jackson,Hedda,False
,1975,Carol Kane,Hester Street,False
tt0074958,1976,Faye Dunaway,Network,True
,1976,Marie-Christine Barrault,Cousin Cousine,False
tt0075148,1976,Talia Shire,Rocky,False
,1976,Sissy Spacek,Carrie,False
,1976,Liv Ullmann,Face to Face,False
tt0075686,1977,Diane Keaton,Annie Hall,True
tt0076843,1977,Anne Bancroft,The Turning Point,False
tt0076245,1977,Jane Fonda,Julia,False
tt0076843,1977,Shirley MacLaine,The Turning Point,False
tt0076095,1977,Marsha Mason,The Goodbye Girl,False
tt0077362,1978,Jane Fonda,Coming Home,True
,1978,Ingrid Bergman,Autumn Sonata,False
,1978,Ellen Burstyn,"Same Time, Next Year",False
tt0078444,1978,Jill Clayburgh,An Unmarried Woman,False
,1978,Geraldine Page,Interiors,False
tt0079638,1979,Sally Field,Norma Rae,True
,1979,Jill Clayburgh,Starting Over,False
,1979,Jane Fonda,The China Syndrome,False
,1979,Marsha Mason,Chapter Two,False
,1979,Bette Midler,The Rose,False
tt0080549,1980,Sissy Spacek,Coal Miner's Daughter,True
,1980,Ellen Burstyn,Resurrection,False
,1980,Goldie Hawn,Private Benjamin,False
tt0081283,1980,Mary Tyler Moore,Ordinary People,False
,1980,Gena Rowlands,Gloria,False
tt0082846,1981,Katharine Hepburn,On Golden Pond,True
tt0082979,1981,Diane Keaton,Reds,False
,1981,Marsha Mason,Only When I Laugh,False
,1981,Susan Sarandon,Atlantic City,False
,1981,Meryl Streep,The French Lieutenant's Woman,False
,1982,Meryl Streep,Sophie's Choice,True
,1982,Julie Andrews,Victor/Victoria,False
,1982,Jessica Lange,Frances,False
tt0084335,1982,Sissy Spacek,Missing,False
,1982,Debra Winger,An Officer and a Gentleman,False
tt0086425,1983,Shirley MacLaine,Terms of Endearment,True
,1983,Jane Alexander,Testament,False
,1983,Meryl Streep,Silkwood,False
,1983,Julie Walters,Educating Rita,False
tt0086425,1983,Debra Winger,Terms of Endearment,False
tt0087921,1984,Sally Field,Places in the Heart,True
tt0087892,1984,Judy Davis,A Passage to India,False
,1984,Jessica Lange,Country,False
,1984,Vanessa Redgrave,The Bostonians,False
,1984,Sissy Spacek,The River,False
,1985,Geraldine Page,The Trip to Bountiful,True
,1985,Anne Bancroft,Agnes of God,False
